N,random,reverse,almost
500,31,374,344
1000,90,1287,421
1500,110,2870,1231
2000,155,5045,1474
2500,199,9339,2292
3000,234,11957,4438
3500,277,16138,5119
4000,332,22307,8472
4500,365,28371,7126
5000,415,34644,10964
5500,484,44164,9530
6000,496,47480,9224
6500,548,56345,11821
7000,580,69584,18653
7500,631,81690,18794
8000,675,88376,23941
8500,781,95498,15918
9000,864,101316,13219
9500,840,122956,12601
10000,885,140774,15202
10500,936,171560,34489
11000,967,168132,45114
11500,1023,184631,60042
12000,1084,194861,27069
12500,1137,212838,52628
13000,1300,236281,87902
13500,1221,249573,145087
14000,1352,271808,48460
14500,1381,299687,134189
15000,1423,294904,47998
15500,1439,343806,143016
16000,1478,349003,36085
16500,1584,371107,235690
17000,1617,414549,91551
17500,1623,413901,181349
18000,1635,466809,103181
18500,1845,479707,254347
19000,1779,477284,201797
19500,1869,538382,105347
20000,1919,575901,229965
20500,2043,573222,149253
21000,2010,619125,142257
21500,2039,629647,227109
22000,2204,669558,146126
22500,2136,704402,348006
23000,2257,758881,193045
23500,2290,757095,351736
24000,3736,802734,254153
24500,2329,851937,209335
25000,2538,875442,346521
25500,2478,940978,402265
26000,2492,969927,527091
26500,2649,1013727,194416
27000,2638,996891,682349
27500,2689,1036095,376107
28000,2678,1121069,190628
28500,2839,1013590,224878
29000,2975,1175126,246359
29500,2863,1250385,619428
30000,3114,1285531,566466
30500,2987,1192276,416859
31000,3168,1400033,224275
31500,3240,1358170,356344
32000,3278,1490027,197792
32500,8267,1548012,849693
33000,3413,1358406,352106
33500,3326,1625982,257195
34000,3730,1464058,765043
34500,3784,1644641,198820
35000,3564,1765416,756008
35500,3554,1673909,925679
36000,3579,1825251,885870
36500,3623,1937542,305312
37000,3719,1900401,1078671
37500,3813,1983703,907254
38000,3901,2002540,832901
38500,3896,2084357,342017
39000,4021,2092976,1696936
39500,4166,2191859,569474
40000,4292,2188428,951899
40500,4158,2299251,400878
41000,4205,2452227,591660
41500,4400,2390573,516180
42000,4220,2411030,1308791
42500,4235,2511167,900834
43000,4551,2607911,649405
43500,4787,2665783,394210
44000,4461,2719413,412280
44500,4568,2798953,345173
45000,4602,2882430,2455117
45500,4821,2876138,875073
46000,4843,2974439,1038937
46500,5126,3028876,340308
47000,4803,3214492,995064
47500,4875,3178076,606115
48000,4940,3241489,818868
48500,5100,3345051,668998
49000,5168,3432647,574191
49500,5485,3426793,341348
50000,5141,3553232,447729
50500,5226,3562895,1678543
51000,5551,3570452,1891111
51500,5667,3710213,1347838
52000,5525,3791692,1208162
52500,5549,3890687,1426830
53000,5848,3959994,1903835
53500,5905,4215930,2149350
54000,5605,4196551,1819338
54500,5690,4345073,1088827
55000,5774,4196190,3135358
55500,6088,4289121,1201289
56000,5864,4316185,885484
56500,5959,4469173,1631927
57000,6332,4644930,921670
57500,5991,4624169,2048134
58000,6116,4839075,2470446
58500,6270,4956851,912509
59000,6282,4919404,1677973
59500,7044,5317312,1176740
60000,6949,5242623,1549885
60500,6409,5467459,3311517
61000,7186,5489388,2490766
61500,6676,5446835,1516509
62000,6855,5380084,1201424
62500,6859,5433861,2537631
63000,7003,5517489,2018346
63500,7110,5677488,2252589
64000,6978,5644142,3077307
64500,7209,5770576,797588
65000,6745,5907916,2486081
65500,6901,5909639,346299526
66000,6499,6508201,3241903
66500,7846,7050828,1575916
67000,7878,7364468,3808730
67500,8488,7473663,1474707
68000,8427,7420534,903559651
68500,8404,7640424,1560044
69000,8170,7771753,2274335
69500,8289,7831279,2514620
70000,8825,8106835,1548935
70500,8253,908240452,3360134
71000,9212,8310154,4847570
71500,8929,8639880,5205599
72000,8841,8582388,1464511
72500,9082,908876770,1850783
73000,8651,8643976,3471343
73500,9194,8943484,2404295
74000,8745,8791131,2185514
74500,9162,909359519,4444321
75000,9318,9092708,3165705
75500,9437,9155088,1783441
76000,9453,9345719,2962085
76500,9326,9449850,5178105
77000,9942,909878345,3268692
77500,9584,9864967,3212289
78000,10032,9869813,2120674
78500,9402,10147760,906691658
79000,9868,10323019,2530774
79500,9425,10285504,2691320
80000,9973,10751153,3408011
80500,9807,910890624,2571964
81000,10392,10733891,2222273
81500,9943,10943702,3821892
82000,9944,181178932,5268744
82500,10584,11091091,3668976
83000,10961,11241842,4976904
83500,11305,911950021,3954107
84000,11357,12136158,2628798
84500,10931,12024298,2440563
85000,11271,14157032,5796752
85500,10222,11857496,3464384
86000,11023,12211650,1114426
86500,11003,912636491,5372582
87000,11314,12459791,2426451
87500,11813,12633787,2149408
88000,11413,912689263,11412437
88500,11773,12868295,5306572
89000,11780,736914352,3478348
89500,12182,13104815,2561271
90000,11473,13245214,4142049
90500,11656,13176463,2386782
91000,11736,913759752,2788966
91500,11208,13618226,4081362
92000,12058,13784358,5988525
92500,12803,914285342,4667952
93000,12630,14188025,9199370
93500,12780,914601087,3662027
94000,12449,14672465,7838700
94500,12425,772189761,2738632
95000,12766,14952236,8822336
95500,12861,14837600,5807582
96000,11969,15125634,3298297
96500,11948,15185813,1988972
97000,12994,915806244,3081398
97500,12375,15723412,6981723
98000,12576,915811044,4631151
98500,12741,16008583,7334040
99000,13271,916058759,6252211
99500,13555,16437178,8196719
100000,12868,743401158,6363943
